,open,high,low,volume,daily_return,close,side,per share profit/loss,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2020-01-16,39489.0,41989.0,36618.0,14072.21903592,0.029823495150548274,40666.7,sell,8618.699999999997,36626.07999999998,33568.990000000005,1.0,0.0,500.0,0.0,20333350.0,-13025700.0,7307650.0,0.08764213847710911,72.07650000000002
2020-01-17,40644.2,41418.0,38765.2,5989.36250679,-0.010195073610595351,40252.1,buy,0.0,38266.89999999998,34706.21,1.0,0.0,500.0,0.0,20126050.0,-13025700.0,7100350.0,-0.028367532654136385,70.00350000000003
2020-01-20,40256.8,41437.5,34875.0,14578.12038267,-0.051714072060836565,38170.5,buy,0.0,39090.999999999985,35627.34,1.0,0.0,500.0,0.0,19085250.0,-13025700.0,6059550.0,-0.14658432330800597,59.59550000000002
2020-01-21,38170.3,38249.9,30302.0,27061.98196231,-0.07155263881793528,35439.3,buy,0.0,38803.51999999998,36231.37999999999,1.0,0.0,500.0,0.0,17719650.0,-13025700.0,4693950.0,-0.22536326954971908,45.93950000000002
2020-01-22,35444.0,36626.6,32416.8,13744.95201747,-0.039303823721123184,34046.4,buy,0.0,37714.999999999985,36412.14,1.0,0.0,500.0,0.0,17023200.0,-13025700.0,3997500.0,-0.14837184034768158,38.975000000000016
2020-01-23,34038.2,37820.0,32349.9,13128.53982254,0.098210089759857,37390.1,sell,3343.699999999997,37059.67999999998,36842.87999999999,1.0,0.0,500.0,0.0,18695050.0,-13025700.0,5669350.0,0.41822388993120696,55.69350000000002
2020-01-24,37390.1,40115.0,36676.6,10488.49678433,0.04711140114629275,39151.6,sell,5105.199999999997,36839.57999999998,37553.23999999999,0.0,-1.0,0.0,-500.0,0.0,6550100.0,6550100.0,0.15535290641784338,64.50100000000003
2020-01-27,39121.5,39686.1,34371.0,13486.03839009,-0.06160156928452465,36739.8,buy,0.0,36553.43999999998,37822.21999999999,0.0,0.0,0.0,0.0,0.0,6550100.0,6550100.0,0.0,64.50100000000003
2020-01-28,36744.6,37947.5,35342.2,8842.42252093,-0.019738811860707032,36014.6,buy,0.0,36668.49999999998,37736.00999999999,0.0,0.0,0.0,0.0,0.0,6550100.0,6550100.0,0.0,64.50100000000003
2020-01-29,36010.5,36873.9,33850.0,9017.89627085,-0.005503323652074399,35816.4,buy,0.0,37022.49999999998,37368.749999999985,0.0,0.0,0.0,0.0,0.0,6550100.0,6550100.0,0.0,64.50100000000003
2020-01-30,35815.6,37400.0,34754.5,7464.62633774,0.02250644955941961,36622.5,sell,806.0999999999985,36868.979999999974,36964.32999999999,0.0,0.0,0.0,0.0,0.0,6550100.0,6550100.0,0.0,64.50100000000003
