timestamp,open,high,low,close,volume
2019-02-02,3436.6,3494.1,3414.0,3466.0,1347.49342036
2019-02-03,3467.7,3472.9,3388.6,3415.2,1300.82888033
2019-02-04,3416.6,3437.8,3396.9,3413.9,1359.62990401
2019-02-05,3411.0,3433.7,3397.8,3429.5,1429.38685442
2019-02-06,3430.0,3445.0,3337.0,3367.4,2289.49121231
2019-02-07,3367.2,3382.4,3348.1,3357.1,1512.88380802
2019-02-08,3359.5,3704.9,3341.4,3622.1,4231.50646809
2019-02-09,3624.0,3744.2,3589.6,3625.8,1780.95916756
2019-02-10,3625.7,3656.9,3578.2,3650.9,1114.66941941
2019-02-11,3647.3,3650.7,3577.7,3591.7,1388.71175715
2019-02-12,3591.0,3620.0,3538.2,3588.9,1383.23014194
2019-02-13,3585.4,3632.2,3560.0,3579.8,987.62604441
2019-02-14,3576.0,3589.3,3532.1,3562.4,835.12172617
2019-02-15,3560.6,3616.1,3546.9,3567.4,946.7885752
2019-02-16,3567.8,3613.3,3565.3,3580.1,964.91632521
2019-02-17,3583.9,3675.0,3552.7,3625.1,1433.44347746
2019-02-18,3627.7,3926.0,3617.1,3870.7,4873.97405577
2019-02-19,3870.1,3975.0,3838.2,3888.1,3326.31517672
2019-02-20,3890.6,3961.6,3865.7,3943.2,2074.00438324
2019-02-21,3938.6,3986.0,3863.2,3897.1,1838.5870069
2019-02-22,3897.0,3954.6,3884.9,3941.2,1714.98412867
2019-02-23,3940.4,4160.1,3911.0,4113.3,2943.73108279
2019-02-24,4111.1,4190.3,3625.0,3732.2,4240.4510935
2019-02-25,3732.4,3860.3,3732.3,3819.8,2325.62212569
2019-02-26,3819.6,3829.9,3764.0,3796.7,1890.39867573
2019-02-27,3791.8,3827.9,3652.6,3799.1,2805.95989959
2019-02-28,3797.8,3885.0,3756.4,3793.6,2010.80506465
2019-03-01,3793.7,3843.0,3785.8,3804.9,964.32145291
2019-03-02,3804.9,3817.4,3754.3,3810.1,528.89856765
2019-03-03,3813.5,3822.4,3755.4,3785.7,1199.10931344
2019-03-04,3785.7,3805.2,3670.9,3700.1,2280.64433456
2019-03-05,3700.0,3875.1,3690.6,3844.9,2289.0999925
2019-03-06,3845.0,3895.7,3805.0,3851.7,1552.14139273
2019-03-07,3851.6,3891.4,3829.9,3854.0,1882.24990116
2019-03-08,3854.0,3910.0,3760.3,3840.5,1884.20428597
2019-03-09,3840.5,3947.0,3836.7,3919.2,1652.40926475
2019-03-10,3916.1,3916.3,3863.7,3904.5,698.94382321
2019-03-11,3900.7,3911.2,3815.5,3851.2,1262.86118253
2019-03-12,3852.0,3879.6,3800.5,3863.1,1574.06311771
2019-03-13,3865.2,3873.5,3828.8,3852.8,881.79474838
2019-03-14,3851.6,3907.0,3782.0,3856.9,1236.3796374
2019-03-15,3856.6,3909.8,3847.8,3900.3,1128.43467216
2019-03-16,3900.1,4042.5,3899.9,3989.2,2160.35937378
2019-03-17,3989.5,3989.6,3937.4,3965.0,745.65446633
2019-03-18,3963.4,4019.9,3935.2,3969.6,1642.10131711
2019-03-19,3969.6,4010.0,3950.0,3999.9,1336.75471401
2019-03-20,3998.4,4048.8,3963.4,4033.0,2045.27473529
2019-03-21,4031.7,4064.4,3871.3,3974.3,2388.3976248
2019-03-22,3972.5,3999.0,3960.0,3984.1,1103.81827614
2019-03-23,3981.6,4000.0,3961.3,3982.4,736.79176036
2019-03-24,3980.4,3981.3,3946.7,3969.7,707.49922392
2019-03-25,3967.9,3976.6,3855.5,3906.0,2115.10591563
2019-03-26,3908.0,3921.6,3882.9,3918.8,1409.65973844
2019-03-27,3915.7,4037.3,3913.0,4026.1,2228.45823286
2019-03-28,4025.0,4025.0,3994.9,4013.7,1319.06479382
2019-03-29,4013.4,4100.0,4005.9,4088.9,2139.49520096
2019-03-30,4089.9,4130.0,4040.0,4090.9,1203.701439
2019-03-31,4092.2,4100.0,4073.7,4095.1,615.80523918
2019-04-01,4095.1,4148.6,4051.7,4137.8,2757.82205062
2019-04-02,4137.9,5142.9,4133.1,4902.9,10675.20887975
2019-04-03,4899.4,5362.7,4751.0,4972.2,9109.42654442
2019-04-04,4971.3,5075.1,4782.1,4907.7,4097.31486554
2019-04-05,4914.8,5091.9,4886.0,5038.1,2001.30591582
2019-04-06,5037.4,5240.0,4895.9,5036.4,2242.80037391
2019-04-07,5044.1,5270.0,5015.7,5189.3,2552.31706093
2019-04-08,5194.4,5359.8,5125.5,5285.1,3174.13644998
2019-04-09,5287.7,5287.7,5144.9,5190.8,2519.97308079
2019-04-10,5191.9,5464.0,5169.9,5320.5,4238.8099458
2019-04-11,5320.4,5342.2,4960.1,5041.7,3746.33595885
2019-04-12,5040.7,5115.9,4920.0,5081.1,1996.74263041
2019-04-13,5075.1,5122.0,5036.9,5069.3,1198.74414851
2019-04-14,5065.5,5190.1,5008.0,5153.3,919.81572982
2019-04-15,5162.6,5188.2,4942.8,5041.4,1997.4316129
2019-04-16,5030.3,5245.0,5017.9,5204.0,2807.57292657
2019-04-17,5204.0,5300.0,5175.1,5225.0,1665.10087491
2019-04-18,5224.9,5325.0,5222.1,5282.8,2070.21095404
2019-04-19,5281.0,5366.5,5191.9,5286.0,1908.30782418
2019-04-20,5285.9,5359.0,5257.0,5316.5,1376.33684195
2019-04-21,5318.5,5347.8,5200.0,5295.2,1359.58580151
2019-04-22,5294.7,5453.3,5245.0,5384.0,2912.60125281
2019-04-23,5384.0,5645.0,5363.3,5530.1,4053.77707391
2019-04-24,5525.4,5627.9,5375.3,5444.2,2896.04359536
2019-04-25,5442.0,5510.5,4357.1,5131.8,4677.9824735
2019-04-26,5128.7,5290.0,5043.3,5153.0,4036.15084528
2019-04-27,5154.5,5216.5,5116.7,5168.5,1650.06779725
2019-04-28,5169.8,5215.4,5100.2,5158.9,1187.83171064
